V(VBN),V(XOTA:TAIL),V(XOTA:D),V(VSS),V(VDD),V(OUT),V(IN)
8.20972917e-01,1.85480387e-04,2.69676161e+00,0.00000000e+00,3.30000000e+00,5.09400329e-01,4.90000000e-01
8.20972917e-01,2.39425451e-04,2.68643705e+00,0.00000000e+00,3.30000000e+00,5.19288322e-01,5.00000000e-01
8.20972917e-01,3.08226115e-04,2.67612210e+00,0.00000000e+00,3.30000000e+00,5.29178798e-01,5.10000000e-01
8.20972917e-01,3.95601625e-04,2.66582605e+00,0.00000000e+00,3.30000000e+00,5.39070092e-01,5.20000000e-01
8.20972917e-01,5.06046650e-04,2.65556034e+00,0.00000000e+00,3.30000000e+00,5.48960152e-01,5.30000000e-01
8.20972917e-01,6.44932565e-04,2.64533856e+00,0.00000000e+00,3.30000000e+00,5.58846601e-01,5.40000000e-01
8.20972917e-01,8.18599863e-04,2.63517629e+00,0.00000000e+00,3.30000000e+00,5.68726850e-01,5.50000000e-01
8.20972917e-01,1.03443225e-03,2.62509073e+00,0.00000000e+00,3.30000000e+00,5.78598291e-01,5.60000000e-01
8.20972917e-01,1.30090108e-03,2.61510011e+00,0.00000000e+00,3.30000000e+00,5.88458549e-01,5.70000000e-01
8.20972917e-01,1.62756717e-03,2.60522307e+00,0.00000000e+00,3.30000000e+00,5.98305772e-01,5.80000000e-01
8.20972917e-01,2.02502660e-03,2.59547797e+00,0.00000000e+00,3.30000000e+00,6.08138898e-01,5.90000000e-01
8.20972917e-01,2.50478802e-03,2.58588236e+00,0.00000000e+00,3.30000000e+00,6.17957869e-01,6.00000000e-01
8.20972917e-01,3.07907297e-03,2.57645255e+00,0.00000000e+00,3.30000000e+00,6.27763707e-01,6.10000000e-01
8.20972917e-01,3.76053750e-03,2.56720337e+00,0.00000000e+00,3.30000000e+00,6.37558459e-01,6.20000000e-01
8.20972917e-01,4.56192449e-03,2.55814811e+00,0.00000000e+00,3.30000000e+00,6.47344986e-01,6.30000000e-01
8.20972917e-01,5.49566814e-03,2.54929852e+00,0.00000000e+00,3.30000000e+00,6.57126660e-01,6.40000000e-01
8.20972917e-01,6.57348430e-03,2.54066486e+00,0.00000000e+00,3.30000000e+00,6.66907017e-01,6.50000000e-01
8.20972917e-01,7.80598738e-03,2.53225589e+00,0.00000000e+00,3.30000000e+00,6.76689423e-01,6.60000000e-01
8.20972917e-01,9.20237385e-03,2.52407885e+00,0.00000000e+00,3.30000000e+00,6.86476826e-01,6.70000000e-01
8.20972917e-01,1.07702039e-02,2.51613945e+00,0.00000000e+00,3.30000000e+00,6.96271589e-01,6.80000000e-01
8.20972917e-01,1.25152974e-02,2.50844183e+00,0.00000000e+00,3.30000000e+00,7.06075428e-01,6.90000000e-01
8.20972917e-01,1.44417426e-02,2.50098857e+00,0.00000000e+00,3.30000000e+00,7.15889428e-01,7.00000000e-01
8.20972917e-01,1.65520035e-02,2.49378079e+00,0.00000000e+00,3.30000000e+00,7.25714116e-01,7.10000000e-01
8.20972917e-01,1.88470988e-02,2.48681830e+00,0.00000000e+00,3.30000000e+00,7.35549555e-01,7.20000000e-01
8.20972917e-01,2.13268259e-02,2.48009978e+00,0.00000000e+00,3.30000000e+00,7.45395459e-01,7.30000000e-01
8.20972917e-01,2.39900033e-02,2.47362300e+00,0.00000000e+00,3.30000000e+00,7.55251292e-01,7.40000000e-01
8.20972917e-01,2.68347096e-02,2.46738505e+00,0.00000000e+00,3.30000000e+00,7.65116353e-01,7.50000000e-01
8.20972917e-01,2.98585056e-02,2.46138256e+00,0.00000000e+00,3.30000000e+00,7.74989851e-01,7.60000000e-01
8.20972917e-01,3.30586304e-02,2.45561188e+00,0.00000000e+00,3.30000000e+00,7.84870957e-01,7.70000000e-01
8.20972917e-01,3.64321671e-02,2.45006932e+00,0.00000000e+00,3.30000000e+00,7.94758841e-01,7.80000000e-01
8.20972917e-01,3.99761789e-02,2.44475116e+00,0.00000000e+00,3.30000000e+00,8.04652697e-01,7.90000000e-01
8.20972917e-01,4.36878165e-02,2.43965357e+00,0.00000000e+00,3.30000000e+00,8.14551762e-01,8.00000000e-01
8.20972917e-01,4.75644025e-02,2.43477332e+00,0.00000000e+00,3.30000000e+00,8.24455322e-01,8.10000000e-01
8.20972917e-01,5.16034921e-02,2.43010757e+00,0.00000000e+00,3.30000000e+00,8.34362725e-01,8.20000000e-01
8.20972917e-01,5.58029151e-02,2.42565390e+00,0.00000000e+00,3.30000000e+00,8.44273370e-01,8.30000000e-01
8.20972917e-01,6.01608021e-02,2.42141024e+00,0.00000000e+00,3.30000000e+00,8.54186717e-01,8.40000000e-01
8.20972917e-01,6.46755952e-02,2.41737498e+00,0.00000000e+00,3.30000000e+00,8.64102274e-01,8.50000000e-01
8.20972917e-01,6.93460456e-02,2.41354686e+00,0.00000000e+00,3.30000000e+00,8.74019599e-01,8.60000000e-01
8.20972917e-01,7.41711949e-02,2.40992502e+00,0.00000000e+00,3.30000000e+00,8.83938299e-01,8.70000000e-01
8.20972917e-01,7.91503044e-02,2.40650885e+00,0.00000000e+00,3.30000000e+00,8.93858019e-01,8.80000000e-01
8.20972917e-01,8.42829462e-02,2.40329813e+00,0.00000000e+00,3.30000000e+00,9.03778448e-01,8.90000000e-01
8.20972917e-01,8.95687042e-02,2.40029261e+00,0.00000000e+00,3.30000000e+00,9.13699307e-01,9.00000000e-01
8.20972917e-01,9.50072112e-02,2.39749205e+00,0.00000000e+00,3.30000000e+00,9.23620353e-01,9.10000000e-01
8.20972917e-01,1.00597965e-01,2.39489596e+00,0.00000000e+00,3.30000000e+00,9.33541374e-01,9.20000000e-01
8.20972917e-01,1.06340143e-01,2.39250338e+00,0.00000000e+00,3.30000000e+00,9.43462191e-01,9.30000000e-01
8.20972917e-01,1.12232369e-01,2.39031247e+00,0.00000000e+00,3.30000000e+00,9.53382652e-01,9.40000000e-01
8.20972917e-01,1.18272451e-01,2.38832022e+00,0.00000000e+00,3.30000000e+00,9.63302639e-01,9.50000000e-01
8.20972917e-01,1.24457105e-01,2.38652204e+00,0.00000000e+00,3.30000000e+00,9.73222059e-01,9.60000000e-01
8.20972917e-01,1.30781694e-01,2.38491138e+00,0.00000000e+00,3.30000000e+00,9.83140853e-01,9.70000000e-01
8.20972917e-01,1.37240052e-01,2.38347953e+00,0.00000000e+00,3.30000000e+00,9.93058986e-01,9.80000000e-01
8.20972917e-01,1.43824441e-01,2.38221552e+00,0.00000000e+00,3.30000000e+00,1.00297645e+00,9.90000000e-01
8.20972917e-01,1.50525677e-01,2.38110637e+00,0.00000000e+00,3.30000000e+00,1.01289327e+00,1.00000000e+00
8.20972917e-01,1.57333462e-01,2.38013750e+00,0.00000000e+00,3.30000000e+00,1.02280948e+00,1.01000000e+00
8.20972917e-01,1.64236841e-01,2.37929344e+00,0.00000000e+00,3.30000000e+00,1.03272512e+00,1.02000000e+00
8.20972917e-01,1.71224744e-01,2.37855858e+00,0.00000000e+00,3.30000000e+00,1.04264025e+00,1.03000000e+00
8.20972917e-01,1.78286482e-01,2.37791784e+00,0.00000000e+00,3.30000000e+00,1.05255493e+00,1.04000000e+00
8.20972917e-01,1.85412148e-01,2.37735729e+00,0.00000000e+00,3.30000000e+00,1.06246922e+00,1.05000000e+00
8.20972917e-01,1.92592860e-01,2.37686443e+00,0.00000000e+00,3.30000000e+00,1.07238316e+00,1.06000000e+00
8.20972917e-01,1.99820874e-01,2.37642841e+00,0.00000000e+00,3.30000000e+00,1.08229682e+00,1.07000000e+00
8.20972917e-01,2.07089582e-01,2.37603995e+00,0.00000000e+00,3.30000000e+00,1.09221022e+00,1.08000000e+00
8.20972917e-01,2.14393425e-01,2.37569129e+00,0.00000000e+00,3.30000000e+00,1.10212339e+00,1.09000000e+00
8.20972917e-01,2.21727782e-01,2.37537597e+00,0.00000000e+00,3.30000000e+00,1.11203638e+00,1.10000000e+00
8.20972917e-01,2.29088831e-01,2.37508867e+00,0.00000000e+00,3.30000000e+00,1.12194919e+00,1.11000000e+00
8.20972917e-01,2.36473422e-01,2.37482501e+00,0.00000000e+00,3.30000000e+00,1.13186186e+00,1.12000000e+00
8.20972917e-01,2.43878960e-01,2.37458141e+00,0.00000000e+00,3.30000000e+00,1.14177438e+00,1.13000000e+00
8.20972917e-01,2.51303304e-01,2.37435491e+00,0.00000000e+00,3.30000000e+00,1.15168678e+00,1.14000000e+00
8.20972917e-01,2.58744678e-01,2.37414307e+00,0.00000000e+00,3.30000000e+00,1.16159907e+00,1.15000000e+00
8.20972917e-01,2.66201609e-01,2.37394388e+00,0.00000000e+00,3.30000000e+00,1.17151125e+00,1.16000000e+00
8.20972917e-01,2.73672862e-01,2.37375567e+00,0.00000000e+00,3.30000000e+00,1.18142333e+00,1.17000000e+00
8.20972917e-01,2.81157402e-01,2.37357703e+00,0.00000000e+00,3.30000000e+00,1.19133531e+00,1.18000000e+00
8.20972917e-01,2.88654351e-01,2.37340679e+00,0.00000000e+00,3.30000000e+00,1.20124720e+00,1.19000000e+00
8.20972917e-01,2.96162963e-01,2.37324397e+00,0.00000000e+00,3.30000000e+00,1.21115900e+00,1.20000000e+00
8.20972917e-01,3.03682599e-01,2.37308771e+00,0.00000000e+00,3.30000000e+00,1.22107072e+00,1.21000000e+00
8.20972917e-01,3.11212707e-01,2.37293731e+00,0.00000000e+00,3.30000000e+00,1.23098235e+00,1.22000000e+00
8.20972917e-01,3.18752809e-01,2.37279214e+00,0.00000000e+00,3.30000000e+00,1.24089390e+00,1.23000000e+00
8.20972917e-01,3.26302489e-01,2.37265168e+00,0.00000000e+00,3.30000000e+00,1.25080537e+00,1.24000000e+00
8.20972917e-01,3.33861380e-01,2.37251547e+00,0.00000000e+00,3.30000000e+00,1.26071675e+00,1.25000000e+00
8.20972917e-01,3.41429157e-01,2.37238310e+00,0.00000000e+00,3.30000000e+00,1.27062805e+00,1.26000000e+00
8.20972917e-01,3.49005534e-01,2.37225424e+00,0.00000000e+00,3.30000000e+00,1.28053928e+00,1.27000000e+00
8.20972917e-01,3.56590253e-01,2.37212857e+00,0.00000000e+00,3.30000000e+00,1.29045042e+00,1.28000000e+00
8.20972917e-01,3.64183083e-01,2.37200582e+00,0.00000000e+00,3.30000000e+00,1.30036148e+00,1.29000000e+00
8.20972917e-01,3.71783816e-01,2.37188575e+00,0.00000000e+00,3.30000000e+00,1.31027246e+00,1.30000000e+00
8.20972917e-01,3.79392262e-01,2.37176815e+00,0.00000000e+00,3.30000000e+00,1.32018335e+00,1.31000000e+00
8.20972917e-01,3.87008249e-01,2.37165283e+00,0.00000000e+00,3.30000000e+00,1.33009417e+00,1.32000000e+00
8.20972917e-01,3.94631619e-01,2.37153961e+00,0.00000000e+00,3.30000000e+00,1.34000490e+00,1.33000000e+00
8.20972917e-01,4.02262226e-01,2.37142836e+00,0.00000000e+00,3.30000000e+00,1.34991554e+00,1.34000000e+00
8.20972917e-01,4.09899937e-01,2.37131892e+00,0.00000000e+00,3.30000000e+00,1.35982611e+00,1.35000000e+00
8.20972917e-01,4.17544626e-01,2.37121117e+00,0.00000000e+00,3.30000000e+00,1.36973658e+00,1.36000000e+00
8.20972917e-01,4.25196177e-01,2.37110501e+00,0.00000000e+00,3.30000000e+00,1.37964697e+00,1.37000000e+00
8.20972917e-01,4.32854483e-01,2.37100032e+00,0.00000000e+00,3.30000000e+00,1.38955727e+00,1.38000000e+00
8.20972917e-01,4.40519442e-01,2.37089702e+00,0.00000000e+00,3.30000000e+00,1.39946748e+00,1.39000000e+00
8.20972917e-01,4.48190957e-01,2.37079502e+00,0.00000000e+00,3.30000000e+00,1.40937760e+00,1.40000000e+00
8.20972917e-01,4.55868940e-01,2.37069423e+00,0.00000000e+00,3.30000000e+00,1.41928763e+00,1.41000000e+00
8.20972917e-01,4.63553304e-01,2.37059460e+00,0.00000000e+00,3.30000000e+00,1.42919756e+00,1.42000000e+00
8.20972917e-01,4.71243970e-01,2.37049605e+00,0.00000000e+00,3.30000000e+00,1.43910741e+00,1.43000000e+00
8.20972917e-01,4.78940859e-01,2.37039852e+00,0.00000000e+00,3.30000000e+00,1.44901715e+00,1.44000000e+00
8.20972917e-01,4.86643900e-01,2.37030196e+00,0.00000000e+00,3.30000000e+00,1.45892680e+00,1.45000000e+00
8.20972917e-01,4.94353022e-01,2.37020630e+00,0.00000000e+00,3.30000000e+00,1.46883635e+00,1.46000000e+00
8.20972917e-01,5.02068158e-01,2.37011152e+00,0.00000000e+00,3.30000000e+00,1.47874581e+00,1.47000000e+00
8.20972917e-01,5.09789243e-01,2.37001755e+00,0.00000000e+00,3.30000000e+00,1.48865516e+00,1.48000000e+00
8.20972917e-01,5.17516217e-01,2.36992436e+00,0.00000000e+00,3.30000000e+00,1.49856441e+00,1.49000000e+00
8.20972917e-01,5.25249019e-01,2.36983191e+00,0.00000000e+00,3.30000000e+00,1.50847355e+00,1.50000000e+00
8.20972917e-01,5.32987593e-01,2.36974016e+00,0.00000000e+00,3.30000000e+00,1.51838260e+00,1.51000000e+00
8.20972917e-01,5.40731883e-01,2.36964908e+00,0.00000000e+00,3.30000000e+00,1.52829153e+00,1.52000000e+00
8.20972917e-01,5.48481835e-01,2.36955863e+00,0.00000000e+00,3.30000000e+00,1.53820036e+00,1.53000000e+00
8.20972917e-01,5.56237397e-01,2.36946879e+00,0.00000000e+00,3.30000000e+00,1.54810907e+00,1.54000000e+00
8.20972917e-01,5.63998520e-01,2.36937952e+00,0.00000000e+00,3.30000000e+00,1.55801768e+00,1.55000000e+00
8.20972917e-01,5.71765154e-01,2.36929081e+00,0.00000000e+00,3.30000000e+00,1.56792617e+00,1.56000000e+00
8.20972917e-01,5.79537252e-01,2.36920262e+00,0.00000000e+00,3.30000000e+00,1.57783455e+00,1.57000000e+00
8.20972917e-01,5.87314768e-01,2.36911494e+00,0.00000000e+00,3.30000000e+00,1.58774281e+00,1.58000000e+00
8.20972917e-01,5.95097657e-01,2.36902773e+00,0.00000000e+00,3.30000000e+00,1.59765095e+00,1.59000000e+00
8.20972917e-01,6.02885874e-01,2.36894098e+00,0.00000000e+00,3.30000000e+00,1.60755897e+00,1.60000000e+00
8.20972917e-01,6.10679377e-01,2.36885467e+00,0.00000000e+00,3.30000000e+00,1.61746688e+00,1.61000000e+00
8.20972917e-01,6.18478125e-01,2.36876878e+00,0.00000000e+00,3.30000000e+00,1.62737465e+00,1.62000000e+00
8.20972917e-01,6.26282075e-01,2.36868330e+00,0.00000000e+00,3.30000000e+00,1.63728231e+00,1.63000000e+00
8.20972917e-01,6.34091189e-01,2.36859819e+00,0.00000000e+00,3.30000000e+00,1.64718984e+00,1.64000000e+00
8.20972917e-01,6.41905426e-01,2.36851346e+00,0.00000000e+00,3.30000000e+00,1.65709724e+00,1.65000000e+00
8.20972917e-01,6.49724749e-01,2.36842908e+00,0.00000000e+00,3.30000000e+00,1.66700450e+00,1.66000000e+00
8.20972917e-01,6.57549120e-01,2.36834503e+00,0.00000000e+00,3.30000000e+00,1.67691164e+00,1.67000000e+00
8.20972917e-01,6.65378502e-01,2.36826131e+00,0.00000000e+00,3.30000000e+00,1.68681864e+00,1.68000000e+00
8.20972917e-01,6.73212858e-01,2.36817790e+00,0.00000000e+00,3.30000000e+00,1.69672551e+00,1.69000000e+00
